time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-22T19:06:31.057Z,-6.4626,154.4927,10,4.8,mb,,118,3.235,1.15,us,us70009nnw,2020-05-22T19:30:05.040Z,"110km W of Panguna, Papua New Guinea",earthquake,7.2,1.9,0.065,73,reviewed,us,us
2020-05-22T19:03:01.600Z,38.2703,-117.7893,1.1,1.5,ml,8,170.59,0.115,0.22,nn,nn00731498,2020-05-22T19:09:10.091Z,"53km WNW of Tonopah, Nevada",earthquake,,18.7,,,automatic,nn,nn
2020-05-22T19:00:52.790Z,32.7543333,-116.9091667,4.52,1.33,ml,19,210,0.1397,0.24,ci,ci39211903,2020-05-22T19:04:27.769Z,"3km ENE of Rancho San Diego, CA",quarry blast,0.78,2.65,0.167,11,automatic,ci,ci
2020-05-22T18:58:10.890Z,38.1552,-117.726,10.4,1.1,ml,12,200.6,0.063,0.13,nn,nn00731497,2020-05-22T19:05:32.254Z,"44km WNW of Tonopah, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-05-22T18:53:27.380Z,38.2442,-117.7182,3.5,1.4,ml,11,178.98,0.208,0.6,nn,nn00731495,2020-05-22T18:59:50.965Z,"47km WNW of Tonopah, Nevada",earthquake,,50.9,,,automatic,nn,nn
2020-05-22T18:51:26.110Z,38.1308,-118.072,0.9,1.3,ml,10,131.3,0.094,0.12,nn,nn00731492,2020-05-22T18:55:10.247Z,"65km SE of Hawthorne, Nevada",earthquake,,11.2,,,automatic,nn,nn
2020-05-22T18:45:23.150Z,38.1345,-118.0618,7,0.8,ml,8,165.76,0.095,0.15,nn,nn00731490,2020-05-22T18:49:10.009Z,"65km SE of Hawthorne, Nevada",earthquake,,15.3,,,automatic,nn,nn
2020-05-22T18:38:17.510Z,33.1666667,-116.4115,11.67,0.9,ml,17,102,0.178,0.36,ci,ci39211879,2020-05-22T18:41:52.398Z,"10km SSW of Borrego Springs, CA",earthquake,0.78,2.61,0.155,13,automatic,ci,ci
2020-05-22T18:34:37.670Z,38.1662,-117.8815,7,1.8,ml,19,78.54,0.021,0.11,nn,nn00731487,2020-05-22T18:45:54.061Z,"58km W of Tonopah, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-05-22T18:31:46.880Z,38.132,-118.0467,3.9,1.1,ml,10,127.31,0.066,0.08,nn,nn00731486,2020-05-22T18:35:31.505Z,"66km SE of Hawthorne, Nevada",earthquake,,2.2,,,automatic,nn,nn
2020-05-22T18:25:19.050Z,19.2101669,-155.3973389,31.77,2.17,ml,48,156,0.02719,0.13,hv,hv71522892,2020-05-22T18:30:54.540Z,"8km E of Pahala, Hawaii",earthquake,0.5,0.8,0.05,5,automatic,hv,hv
2020-05-22T18:24:07.310Z,38.8336678,-122.8174973,1.55,0.56,md,9,106,0.01178,0.01,nc,nc73393386,2020-05-22T18:44:03.465Z,"8km NW of The Geysers, CA",earthquake,0.42,1.25,,1,automatic,nc,nc
2020-05-22T18:23:38.970Z,38.1828,-117.8398,10.7,2.3,ml,18,49.33,0.039,0.1,nn,nn00731481,2020-05-22T18:26:55.436Z,"54km WNW of Tonopah, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-05-22T18:22:27.480Z,38.1533,-118.0142,0,1.9,ml,11,104.05,0.036,0.24,nn,nn00731480,2020-05-22T18:26:19.407Z,"67km SE of Hawthorne, Nevada",earthquake,,6.4,,,automatic,nn,nn
2020-05-22T18:22:13.914Z,64.506,-147.3817,0,1.1,ml,,,,1.02,ak,ak0206ksp6bz,2020-05-22T18:25:10.201Z,"23km SW of Eielson Air Force Base, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-05-22T18:21:03.210Z,33.2298317,-116.7368317,12.41,0.75,ml,17,83,0.1623,0.15,ci,ci39211863,2020-05-22T18:24:49.280Z,"3km ESE of Lake Henshaw, CA",earthquake,0.38,1.63,0.296,6,automatic,ci,ci
2020-05-22T18:20:19.480Z,38.6418343,-122.8503342,9.54,1.35,md,7,168,0.1002,0.04,nc,nc73393381,2020-05-22T18:29:02.721Z,"4km NNE of Healdsburg, CA",earthquake,0.57,1.82,0.36,5,automatic,nc,nc
2020-05-22T18:15:15.580Z,34.6155,-116.6386667,0.36,1.66,ml,21,66,0.1774,0.15,ci,ci39211855,2020-05-22T18:19:11.220Z,"36km ENE of Lucerne Valley, CA",earthquake,0.32,31.61,0.193,28,automatic,ci,ci
2020-05-22T18:11:18.440Z,36.23133333,-95.778,0,1.71,ml,65,120,0.3203371389,0.58,ok,ok2020kavl,2020-05-22T19:04:33.177Z,"5km NNW of Catoosa, Oklahoma",quarry blast,,0.7,0.2,9,reviewed,ok,ok
2020-05-22T18:11:04.340Z,38.2288,-117.7985,9.2,1.8,ml,15,164.84,0.096,0.05,nn,nn00731478,2020-05-22T18:23:59.967Z,"52km WNW of Tonopah, Nevada",earthquake,,2,,,automatic,nn,nn
2020-05-22T18:10:04.780Z,38.2205,-117.8003,8.4,1.4,ml,12,173.25,0.055,0.05,nn,nn00731476,2020-05-22T18:23:51.460Z,"52km WNW of Tonopah, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-05-22T18:04:03.920Z,33.2325,-116.7303333,12.37,0.8,ml,28,39,0.07717,0.21,ci,ci39211847,2020-05-22T18:07:48.733Z,"3km ESE of Lake Henshaw, CA",earthquake,0.32,1.02,0.15,19,automatic,ci,ci
2020-05-22T18:02:22.910Z,19.1963329,-155.3956604,33.68,1.84,md,30,169,0.04099,0.12,hv,hv71522877,2020-05-22T18:05:50.770Z,"8km E of Pahala, Hawaii",earthquake,0.86,1.52,0.09,4,automatic,hv,hv
2020-05-22T17:59:21.500Z,38.155,-117.8943,5.2,1.8,ml,15,90.37,0.027,0.04,nn,nn00731472,2020-05-22T18:11:33.944Z,"59km W of Tonopah, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-05-22T17:58:42.093Z,67.6771,-148.591,9.8,1.2,ml,,,,0.56,ak,ak0206ksbioh,2020-05-22T18:04:55.629Z,"82km NE of Coldfoot, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-05-22T17:54:34.524Z,38.2001,-117.7731,5.7,2.6,ml,13,49.51,0.086,0.173,nn,nn00731491,2020-05-22T18:51:39.716Z,"49km WNW of Tonopah, Nevada",earthquake,,2.3,0.37,8,reviewed,nn,nn
2020-05-22T17:54:13.628Z,38.2051,-117.7312,1.4,2.5,ml,12,126.66,0.118,0.2057,nn,nn00731464,2020-05-22T18:48:21.047Z,"46km WNW of Tonopah, Nevada",earthquake,,2.2,0.71,6,reviewed,nn,nn
2020-05-22T17:54:06.024Z,60.3926,-152.1755,77.8,1.2,ml,,,,0.4,ak,ak0206ksaky1,2020-05-22T17:58:03.352Z,"32km ESE of Redoubt Volcano, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-05-22T17:50:45.768Z,38.1473,-117.9644,8.2,3.1,ml,16,44.04,0.009,0.1716,nn,nn00731458,2020-05-22T18:33:13.418Z,"65km W of Tonopah, Nevada",earthquake,,0.7,0.33,10,reviewed,nn,nn
2020-05-22T17:50:25.010Z,33.0431667,-114.9638333,-0.2,1.34,ml,12,63,0.07176,0.28,ci,ci39211815,2020-05-22T18:50:55.526Z,"44km NNW of Los Algodones, B.C., MX",quarry blast,0.75,31.61,0.143,8,reviewed,ci,ci
2020-05-22T17:44:57.010Z,35.575,-117.3898333,10.83,0.88,ml,11,156,0.05403,0.18,ci,ci39211807,2020-05-22T17:48:32.564Z,"21km S of Trona, CA",earthquake,0.66,0.92,0.089,10,automatic,ci,ci
2020-05-22T17:43:51.520Z,38.1373,-118.0793,3.9,1.3,ml,9,144.55,0.093,0.14,nn,nn00731455,2020-05-22T17:51:12.241Z,"64km SE of Hawthorne, Nevada",earthquake,,2,,,automatic,nn,nn
2020-05-22T17:42:49.598Z,63.5191,-151.2375,9.2,2.7,ml,,,,0.67,ak,ak0206ks83qx,2020-05-22T17:52:11.368Z,"114km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-05-22T17:38:40.120Z,33.2266667,-116.7381667,10.08,0.94,ml,32,62,0.0196,0.22,ci,ci39211799,2020-05-22T17:42:25.513Z,"3km SE of Lake Henshaw, CA",earthquake,0.3,0.6,0.113,21,automatic,ci,ci
2020-05-22T17:31:38.340Z,38.2147,-117.7932,7,2.1,ml,19,124.13,0.08,0.04,nn,nn00731454,2020-05-22T17:38:54.243Z,"52km WNW of Tonopah, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-05-22T17:27:27.580Z,38.1532,-118.0663,4.2,2,ml,24,110.9,0.074,0.16,nn,nn00731450,2020-05-22T17:33:15.157Z,"63km SE of Hawthorne, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-05-22T17:24:00.740Z,38.105,-118.0717,0.1,1.2,ml,12,117.01,0.085,0.13,nn,nn00731447,2020-05-22T17:28:34.247Z,"67km SE of Hawthorne, Nevada",earthquake,,10.9,,,automatic,nn,nn
2020-05-22T17:21:47.861Z,66.312,-157.4617,0,2.1,ml,,,,0.66,ak,ak0206ks3lna,2020-05-22T17:28:24.730Z,"71km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-22T17:19:59.080Z,33.023,-115.9973333,9.79,1.39,ml,25,77,0.1379,0.34,ci,ci39211783,2020-05-22T17:23:45.828Z,"18km SE of Ocotillo Wells, CA",earthquake,0.71,1.95,0.15,27,automatic,ci,ci
2020-05-22T17:19:17.396Z,57.4746,-155.5814,52.8,3.1,ml,,,,0.65,ak,ak0206ks331t,2020-05-22T17:26:43.490Z,"96km W of Larsen Bay, Alaska",earthquake,,1,,,automatic,ak,ak
2020-05-22T17:17:33.092Z,62.723,-148.2298,250,1.9,ml,,,,0.94,ak,ak0206ks2qcf,2020-05-22T17:25:02.171Z,"82km SSE of Cantwell, Alaska",earthquake,,5.2,,,automatic,ak,ak
2020-05-22T17:15:08.880Z,38.1677,-117.9515,7.1,2.3,ml,19,54.37,0.032,0.18,nn,nn00731445,2020-05-22T17:25:14.737Z,"64km W of Tonopah, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-05-22T17:13:13.540Z,38.198,-117.7993,9.1,1.7,ml,17,153.01,0.068,0.15,nn,nn00731440,2020-05-22T17:17:53.421Z,"51km WNW of Tonopah, Nevada",earthquake,,1.6,,,automatic,nn,nn
2020-05-22T17:12:36.590Z,38.1655,-117.8672,10.1,1.1,ml,12,116.08,0.011,0.11,nn,nn00731441,2020-05-22T17:18:00.495Z,"56km WNW of Tonopah, Nevada",earthquake,,3.7,,,automatic,nn,nn
2020-05-22T17:09:25.470Z,38.1255,-118.09,0.1,1.7,ml,17,131.18,0.102,0.12,nn,nn00731437,2020-05-22T17:14:12.420Z,"64km SE of Hawthorne, Nevada",earthquake,,11.1,,,automatic,nn,nn
2020-05-22T17:08:18.030Z,38.158,-117.8463,15.3,1,ml,10,143.4,0.024,0.11,nn,nn00731438,2020-05-22T17:14:19.851Z,"54km W of Tonopah, Nevada",earthquake,,4,,,automatic,nn,nn
2020-05-22T17:04:42.620Z,38.1947,-117.7543,0.2,1.6,ml,15,132.08,0.074,0.16,nn,nn00731435,2020-05-22T17:10:52.333Z,"48km WNW of Tonopah, Nevada",earthquake,,11.7,,,automatic,nn,nn
2020-05-22T17:02:49.550Z,38.1208,-118.0933,0.1,0.8,ml,11,149.39,0.096,0.34,nn,nn00731434,2020-05-22T17:07:48.414Z,"64km SE of Hawthorne, Nevada",earthquake,,26.1,,,automatic,nn,nn
2020-05-22T17:01:34.080Z,38.1565,-117.8732,4.9,1.3,ml,10,173.84,0.005,0.08,nn,nn00731433,2020-05-22T17:07:41.202Z,"57km W of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-22T16:58:56.610Z,38.6208333,-112.5915,1.29,0.9,md,9,140,0.1136,0.1,uu,uu60390027,2020-05-22T18:14:29.610Z,"38km N of Beaver, Utah",earthquake,0.69,5.66,0.471,5,reviewed,uu,uu
2020-05-22T16:57:25.970Z,38.1635,-117.8575,6.7,2.3,ml,25,92.84,0.005,0.1,nn,nn00731430,2020-05-22T17:03:55.387Z,"56km W of Tonopah, Nevada",earthquake,,0.3,,,automatic,nn,nn
2020-05-22T16:56:29.030Z,35.8775,-117.7031667,12.05,0.17,ml,8,92,0.08229,0.11,ci,ci39211775,2020-05-22T18:53:07.537Z,"20km ESE of Little Lake, CA",earthquake,0.35,0.86,0.163,2,reviewed,ci,ci
2020-05-22T16:55:18.670Z,33.2265,-116.7368333,11.17,1.02,ml,34,40,0.07988,0.2,ci,ci39211767,2020-05-22T16:59:07.564Z,"3km SE of Lake Henshaw, CA",earthquake,0.25,0.79,0.104,24,automatic,ci,ci
2020-05-22T16:50:53.110Z,38.1478,-118.0013,9.1,1.2,ml,17,144.45,0.053,0.11,nn,nn00731428,2020-05-22T16:58:39.934Z,"68km SE of Hawthorne, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-05-22T16:48:51.070Z,38.1357,-118.0018,5.8,1.4,ml,8,141.66,0.034,0.06,nn,nn00731427,2020-05-22T16:52:11.468Z,"68km W of Tonopah, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-05-22T16:45:04.710Z,38.1507,-117.8878,6.9,2.5,ml,23,93.11,0.022,0.03,nn,nn00731424,2020-05-22T17:02:51.040Z,"58km W of Tonopah, Nevada",earthquake,,0.3,,,automatic,nn,nn
2020-05-22T16:43:27.680Z,38.1691667,-112.7758333,3.92,0.85,md,7,221,0.186,0.06,uu,uu60390022,2020-05-22T17:01:59.110Z,"16km SW of Beaver, Utah",earthquake,0.5,2.97,0.572,5,reviewed,uu,uu
2020-05-22T16:42:00.783Z,44.3559,-115.1691,10,3.1,ml,,62,0.941,0.84,us,us70009nk9,2020-05-22T17:42:45.140Z,"71km ESE of Cascade, Idaho",earthquake,1.4,2,0.043,70,reviewed,us,us
2020-05-22T16:41:58.720Z,35.9165,-117.7341667,8.69,0.48,ml,13,150,0.07487,0.12,ci,ci39211751,2020-05-22T19:01:42.231Z,"16km E of Little Lake, CA",earthquake,0.31,0.51,0.251,6,reviewed,ci,ci
2020-05-22T16:41:15.710Z,38.1692,-117.9335,10,1.7,ml,10,85.64,0.02,0.16,nn,nn00731421,2020-05-22T16:45:51.408Z,"62km W of Tonopah, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-05-22T16:38:45.950Z,38.2053,-117.708,4.1,1.3,ml,12,123.71,0.126,0.34,nn,nn00731420,2020-05-22T16:42:32.127Z,"44km WNW of Tonopah, Nevada",earthquake,,3.8,,,automatic,nn,nn
2020-05-22T16:37:43.890Z,38.8106651,-122.7886658,2.95,0.76,md,19,43,0.005843,0.02,nc,nc73393356,2020-05-22T17:02:03.024Z,"5km NW of The Geysers, CA",earthquake,0.27,0.59,0.1,3,automatic,nc,nc
2020-05-22T16:34:48.200Z,38.1138,-118.0747,0.7,2.8,ml,15,94.08,0.071,0.15,nn,nn00731417,2020-05-22T16:54:53.040Z,"66km SE of Hawthorne, Nevada",earthquake,,14.4,,,automatic,nn,nn
2020-05-22T16:34:26.190Z,38.1278,-118.0565,6.6,2.4,ml,18,114.24,0.081,0.13,nn,nn00731415,2020-05-22T16:40:15.340Z,"66km SE of Hawthorne, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-05-22T16:30:52.240Z,38.1535,-118.0148,1.8,0.9,ml,10,138.94,0.039,0.07,nn,nn00731414,2020-05-22T16:35:38.520Z,"67km SE of Hawthorne, Nevada",earthquake,,9.9,,,automatic,nn,nn
2020-05-22T16:30:00.290Z,38.1693,-117.9687,5.8,1.3,ml,14,133.48,0.037,0.17,nn,nn00731410,2020-05-22T16:35:30.949Z,"65km W of Tonopah, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-05-22T16:24:37.440Z,38.1637,-117.7997,11.4,1.8,ml,18,95.19,0.049,0.1,nn,nn00731407,2020-05-22T16:31:14.377Z,"51km WNW of Tonopah, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-05-22T16:22:26.736Z,62.024,-149.8476,33.3,1.8,ml,,,,1.07,ak,ak0206kric4b,2020-05-22T16:47:34.770Z,"15km S of Y, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-05-22T16:19:42.150Z,38.1603,-117.8571,4.6,3.1,ml,22,93.26,0.012,0.1567,nn,nn00731403,2020-05-22T17:27:38.214Z,"60km W of Tonopah, Nevada",earthquake,,0.8,0.31,8,reviewed,nn,nn
2020-05-22T16:19:22.382Z,38.1574,-117.8598,4.4,2.4,ml,21,111.01,0.01,0.1324,nn,nn00731402,2020-05-22T17:42:59.780Z,"56km W of Tonopah, Nevada",earthquake,,0.9,0.52,7,reviewed,nn,nn
2020-05-22T16:18:32.260Z,38.1515,-117.861,5.4,1.9,ml,12,149.5,0.009,0.11,nn,nn00731401,2020-05-22T16:28:18.983Z,"56km W of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-22T16:17:50.110Z,38.1315,-118.0738,0.9,1.2,ml,13,155.98,0.118,0.13,nn,nn00731399,2020-05-22T16:21:30.635Z,"64km SE of Hawthorne, Nevada",earthquake,,11.8,,,automatic,nn,nn
2020-05-22T16:17:22.530Z,38.8146667,-122.8345032,10.56,0.58,md,9,189,0.00713,0.09,nc,nc73393331,2020-05-22T17:46:02.458Z,"8km WNW of The Geysers, CA",earthquake,2.33,1.18,,1,automatic,nc,nc
2020-05-22T16:12:43.080Z,38.1348,-118.0165,1.7,0.9,ml,10,161.72,0.023,0.05,nn,nn00731397,2020-05-22T16:18:50.142Z,"68km SE of Hawthorne, Nevada",earthquake,,8.5,,,automatic,nn,nn
2020-05-22T16:10:16.630Z,38.1585,-117.8622,7.8,1.2,ml,8,82.98,0.009,0.07,nn,nn00731396,2020-05-22T16:14:29.873Z,"56km W of Tonopah, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-05-22T16:05:19.695Z,64.48,-148.5755,12.1,0.8,ml,,,,0.72,ak,ak0206kreoe2,2020-05-22T16:14:35.287Z,"28km ESE of North Nenana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-22T16:04:39.080Z,38.1687,-117.8712,6.2,1.5,ml,13,163.8,0.003,0.06,nn,nn00731392,2020-05-22T16:37:34.820Z,"57km WNW of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-22T15:59:10.620Z,38.1512,-117.972,8.5,1.5,ml,9,100.8,0.035,0.09,nn,nn00731391,2020-05-22T16:06:20.823Z,"65km W of Tonopah, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-05-22T15:58:18.520Z,38.1688,-117.9398,10.9,1.6,ml,18,121.97,0.061,0.18,nn,nn00731388,2020-05-22T16:37:23.966Z,"63km W of Tonopah, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-05-22T15:56:05.968Z,63.43,-151.0987,0,1.1,ml,,,,0.62,ak,ak0206kr4590,2020-05-22T16:12:24.067Z,"107km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-05-22T15:54:46.425Z,38.1641,-117.8581,5.8,3.3,ml,26,47.26,0.011,0.1733,nn,nn00731384,2020-05-22T16:37:32.279Z,"55km WNW of Tonopah, Nevada",earthquake,,0.8,0.4,11,reviewed,nn,nn
2020-05-22T15:50:04.430Z,38.2155,-117.7463,0.8,2.1,ml,23,97.42,0.087,0.16,nn,nn00731379,2020-05-22T15:53:33.744Z,"48km WNW of Tonopah, Nevada",earthquake,,10.7,,,automatic,nn,nn
2020-05-22T15:49:36.950Z,38.1308,-118.074,11.5,2,ml,20,132.8,0.11,0.09,nn,nn00731378,2020-05-22T15:59:14.087Z,"65km SE of Hawthorne, Nevada",earthquake,,1.7,,,automatic,nn,nn
2020-05-22T15:46:31.633Z,66.3123,-157.2244,0,1.2,ml,,,,0.98,ak,ak0206kr2228,2020-05-22T16:12:23.654Z,"68km SSW of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-05-22T15:45:51.140Z,38.154,-118.0015,9.3,1.4,ml,8,141.07,0.056,0.02,nn,nn00731377,2020-05-22T15:50:50.054Z,"68km SE of Hawthorne, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-05-22T15:40:08.300Z,38.1723,-117.992,0,0.8,ml,10,149.49,0.034,0.3,nn,nn00731375,2020-05-22T15:47:49.848Z,"67km SE of Hawthorne, Nevada",earthquake,,1.9,,,automatic,nn,nn
2020-05-22T15:38:07.580Z,38.222,-117.7995,9.2,1.4,ml,16,139.33,0.079,0.15,nn,nn00731372,2020-05-22T15:42:10.978Z,"52km WNW of Tonopah, Nevada",earthquake,,2,,,automatic,nn,nn
2020-05-22T15:34:40.199Z,60.6766,-149.8153,25.1,1.3,ml,,,,0.7,ak,ak0206kqzi2k,2020-05-22T16:47:33.965Z,"54km ENE of Sterling, Alaska",earthquake,,1.2,,,reviewed,ak,ak
